error_code,error_message,probable_cause,solution,category,sub_category
225,Call pickup denied,"Call pickup was denied.","For your information only.",During Operation,
226,Walking COS—dial tone loss,"Dial tone was lost while using Walking COS.","For your information only.",During Operation,
227,Walking COS—TRS violation,"The dialled number was prohibited by TRS while using Walking COS.","For your information only.",During Operation,
228,CO-CO line connection timeout,"A CO-CO line call was disconnected due to timeout.","For your information only.",During Operation,
229,Recorded message error,"The recorded message could not be played.","For your information only.",During Operation,
230,Voicemail port full,"All voicemail ports are busy.","For your information only.",During Operation,
231,Hotel/Motel—check-in error,"A check-in error occurred.","For your information only.",During Operation,
232,Hotel/Motel—check-out error,"A check-out error occurred.","For your information only.",During Operation,
233,Hotel/Motel—wake-up call error,"A wake-up call error occurred.","For your information only.",During Operation,
234,VM-DIAL timeout,"Voicemail DTMF dialling timeout occurred.","For your information only.",During Operation,
235,T1/E1/BRI trunk error,"A T1/E1/BRI trunk error occurred.","Replace the faulty card.",During Operation,
236,QSIG feature not available,"The QSIG feature is not available.","For your information only.",During Operation,
237,Trunk connection error,"A trunk could not be connected.","For your information only.",During Operation,
238,Call Log entry full,"The Call Log is full.","For your information only.",During Operation,
239,Destination extension busy,"The destination extension is busy.","For your information only.",During Operation,
240,Paging group busy,"The paging group is busy.","For your information only.",During Operation,
241,Trunk group busy,"The trunk group is busy.","For your information only.",During Operation,
242,UM group busy,"The UM group is busy.","For your information only.",During Operation,
243,Trunk access barred from extension,"The extension is barred from accessing the trunk.","For your information only.",During Operation,
244,System data security error,"The system data is password-protected.","For your information only.",During Operation,
245,Remote maintenance—modem access error,"Modem access from a remote location was attempted, but failed.","For your information only.",During Operation,
246,Remote maintenance—password error,"An incorrect password was entered for remote maintenance.","For your information only.",During Operation,
247,Remote maintenance—system ID error,"An incorrect system ID was entered for remote maintenance.","For your information only.",During Operation,
248,Time service—no answer,"There was no answer during a time service call.","For your information only.",During Operation,
249,Time service—call failed,"The time service call failed.","For your information only.",During Operation,
250,Wireless system—registration failed,"Registration of the wireless system failed.","For your information only.",During Operation,
251,Wireless system—out of range,"The wireless system is out of range.","For your information only.",During Operation,
252,Wireless system—busy,"The wireless system is busy.","For your information only.",During Operation,
253,Wireless system—access denied,"Access to the wireless system was denied.","For your information only.",During Operation,
254,Wireless system—power off,"The wireless system is powered off.","For your information only.",During Operation,
300,Alarm information,"An alarm occurred.","For your information only.",Information,
301,Alarm recovery information,"An alarm recovery was performed.","For your information only.",Information,
302,Trunk alarm information,"A trunk alarm occurred.","For your information only.",Information,
303,Trunk alarm recovery information,"A trunk alarm recovery was performed.","For your information only.",Information,
304,Card removal information,"A card was removed.","For your information only.",Information,
305,Card insertion information,"A card was inserted.","For your information only.",Information,
306,System restart information,"The system was restarted.","For your information only.",Information,
307,Time change information,"The time was changed.","For your information only.",Information,
308,Toll/TRS programme change information,"The Toll/TRS programme was changed.","For your information only.",Information,
309,System speed dial programme change information,"The system speed dial programme was changed.","For your information only.",Information,
310,Extension data programme change information,"The extension data programme was changed.","For your information only.",Information,
311,System data programme change information,"The system data programme was changed.","For your information only.",Information,
312,Password change information,"The password was changed.","For your information only.",Information,
313,Programme mode entry information,"Programme mode was entered.","For your information only.",Information,
314,Programme mode exit information,"Programme mode was exited.","For your information only.",Information,
315,AC power failure information,"An AC power failure occurred.","For your information only.",Information,
316,AC power recovery information,"AC power was recovered.","For your information only.",Information,
317,Battery empty information,"The backup battery is empty.","For your information only.",Information,
318,Battery charge start information,"The backup battery has started charging.","For your information only.",Information,
319,Forced line release information,"A line was forcibly released.","For your information only.",Information,
320,T1/E1/BRI trunk port error,"A T1/E1/BRI trunk port error occurred.","For your information only.",Information,
321,T1/E1/BRI trunk port recovery,"A T1/E1/BRI trunk port was recovered.","For your information only.",Information,
322,IP telephone registration failed,"Registration of an IP telephone failed.","For your information only.",Information,
323,IP telephone deregistration,"An IP telephone was deregistered.","For your information only.",Information,
324,IP telephone registration,"An IP telephone was registered.","For your information only.",Information,
325,Extension password change,"The extension password was changed.","For your information only.",Information,
326,SMDR buffer overflow,"The SMDR buffer is full.","For your information only.",Information,
327,Unused activation key deletion,"An unused activation key was deleted.","For your information only.",Information,
328,Hotel/Motel—wake-up call answer,"A wake-up call was answered.","For your information only.",Information,
329,Hotel/Motel—wake-up call no answer,"A wake-up call was not answered.","For your information only.",Information,
330,IP card resource exhausted,"All IP card resources are in use.","For your information only.",Information,
331,Incorrect PIN,"An incorrect PIN was entered.","For your information only.",Information,
