Error Code,Errore Message,Probable Cause,Solution
001,SDRAM bit error,"? EMPR card malfunction
? Optional service card malfunction: CTI-LINK, BUS-S
? Erroneous processing of EMPR card software
? Software error due to external factors","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
002,System Restart,"? Reset Button is pressed
? Power failure
? EMPR card malfunction
? Erroneous processing of EMPR card software
? Software error due to external factors","? Ignore if not frequent 
? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the EMPR card(be sure to turn off the Hybrid IP-PBX when replacing)"
010,AC power down,"? Power supply system malfunction (e.g., power failure, power noise, trouble with UPS)
? Bad connection or breaking of AC cord
? Power supply circuit (PSU, back board) malfunction","? Check the power supply system
? See if the AC cord is connected properly
? Check the AC cord
? Replace the AC cord (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the PSU (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing?"
011,DC power down,"? AC power down
? Power supply circuit (PSU, back board) malfunction
? Detection of over current (short circuit on optional service cards)","? Check the power supply system
? See if the AC cord is connected properly
? Check the AC cord
? Replace the AC cord (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the PSU (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)
? Remove the optional service cards and restart the Hybrid IP-PBX"
012,RAM battery low,? Battery out,? Replace the EMPR card
014,FAN Alarm,"? EMPR card malfunction
? BUS-S card malfunction","(be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the corresponding BUS-S Card"
016,CS overload,? PSU-L malfunction,"? See if anything is jammed in the fan
? Replace the PSU (be sure to turn off the Hybrid IP-PBX when replacing)"
017,BRI port overload,"? Defective cable
? CS malfunction
? Optional service card malfunction: CSIF","? Check the cable diameter and length
? Replace the CS
? Replace the corresponding optional service card"
020,SD file access error,"? Defective cable
? Defective ISDN terminal equipment
? Optional service card malfunction: BRI","? Check the cable
? Replace the defective terminal equipment
? Check the number of connected terminal equipment
? Replace the corresponding optional service card"
021,SD Memory Card disconnected,"? SD Memory Card malfunction
? Bad connection of SD Memory Card
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
022,Not enough free space on SD card,"? Not enough memory space available to save the system data, or to upload system files from the KX-TDA600 Maintenance Console","? Delete the files whose file names start with ""$"" from SD Memory Card
? Delete the ""Pxxx"" files (old programme files of optional service cards) from SD Memory Card. ""xxx"" indicates the card type (e.g., ""PDHLC"" for DHLC card)
Note: Do not delete the ""PLMPR"" file; it is the programme file of the EMPR card."
023,System data file version error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
024,System initialization file version error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
025,Card initialization file version error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
026,LCD file version error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
027,System data file checksum error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
028,System initialization file checksum error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
029,Card initialization file checksum error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
030,LCD file checksum error,"? Old system files on SD Memory Card
? Defective system files on SD Memory Card","? Restore the backup files
? Re-install the software"
031,System data file not found,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
032,System initialization file not found,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
033,Card initialization file not found,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
034,LCD file not found,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
035,System data file access error,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
036,System initialization file access error,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
037,Card initialization file access error,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
038,LCD file access error,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
039,SD file access error,"? SD Memory Card not installed
? Bad connection of SD Memory Card
? SD Memory Card malfunction
? EMPR card malfunction","? Press the Reset Button
? Reprogramme the Hybrid IP-PBX
? Replace the SD Memory Card
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
041,Expansion Memory Card Failure,? EMEC card is not properly connected,"? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Replace the corresponding optional service card"
042,Shelf FAN Alarm,? Fan malfunction (Basic Shelf or Expansion Shelf),"? Turn off the Hybrid IP-PBX
? See if anything is jammed in the fan
? Replace the fan of the corresponding shelf (be sure to turn off the Hybrid IP-PBX when replacing)"
043,Expansion Shelf communication error,"? Bus Cable is not properly connected between shelves
? Optional service card malfunction: BUS-M, BUS-ME, BUS-S","? See if the Bus Cable is connected properly
? Replace the corresponding optional service card (be sure to turn off the Hybrid IP-PBX when replacing a BUS-M card)"
044,Master CS ID duplicated,? A CS ID number registered as the Master CS ID is also detected on another shelf,"? Unplug the CS of the corresponding port, and plug it back into the correct port, then plug a new CS in the corresponding port."
090,Over Card Limitation,? Too many optional service cards installed,? Reduce the number of optional service cards
091,PT connection over,? Too many PTs connected,? Reduce the number of PTs
092,CS connection over,? Too many CSs connected,? Reduce the number of CSs
200,LPR start up error (ROM NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card"
201,LPR start up error (RAM NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card"
202,LPR start up error (No Program),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
203,LPR start up error (Version NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
204,LPR start up error (Download NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
205,LPR start up error (No response),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
206,LPR start up error (Card type NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
207,LPR start up error (Check SUM NG),"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT","? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Update the software of the corresponding optional service card
? Replace the corresponding optional service card"
230,Card disconnected,"? Optional service card not installed properly
? Optional service card malfunction
? Back board malfunction","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)"
231,LPR alive check error,"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT
? Back board malfunction
? EMPR card malfunction","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
232,MPR-LPR communication error,"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT
? Back board malfunction
? EMPR card malfunction","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
233,LPR data check error,"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT
? Back board malfunction
? EMPR card malfunction","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
234,DPLL clock failure,"? Optional service card malfunction: DHLC, DLC, CSIF, T1, E1, BRI, PRI, OPB3, CTI-LINK, E&M, IP-GW, DID, SLC (SLC8, ESLC16, EMSLC16), IP-EXT, ELCOT
? Back board malfunction
? EMPR card malfunction","? See if the corresponding optional service card is installed properly
? Pull out and re-insert the corresponding optional service card
? Press the Reset Button
? Replace the corresponding optional service card
? Replace the back board (be sure to turn off the Hybrid IP-PBX when replacing)
? Replace the EMPR card (be sure to turn off the Hybrid IP-PBX when replacing)"
235*,CS clock failure,? Optional service card malfunction: CSIF,? Replace the corresponding optional service card
250*,T1/E1 DSP failure,"? Optional service card malfunction: T1, E1","? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
251,MSG DSP failure,? Optional service card malfunction: MSG,"? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
300*,Digital trunk out of Synchronization,"? Network (digital trunk) malfunction
? Optional service card malfunction: PRI, T1, E1
? Wrong A/B switch setting: PRI, T1, E1
? Wrong termination switch setting: PRI30, E1","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connector; 75  ? when using BNC connector
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
301*,Digital trunk RAI Reception,"? Network (digital trunk) malfunction
? Optional service card malfunction: PRI, T1, E1
? Wrong A/B switch setting: PRI, T1, E1
? Wrong termination switch setting: PRI30, E2","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connector; 75  ? when using BNC connector
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
302*,Digital trunk AIS Reception,"? Network (digital trunk) malfunction
? Optional service card malfunction: PRI, T1, E1
? Wrong A/B switch setting: PRI, T1, E1
? Wrong termination switch setting: PRI30, E3","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connector; 75  ? when using BNC connector
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
303*,Multiframe out of Synchronization,"? Network (digital trunk) malfunction
? Optional service card malfunction: PRI, T1, E1
? Wrong A/B switch setting: PRI, T1, E1
? Wrong termination switch setting: PRI30, E4","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connector; 75  ? when using BNC connector
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
304*,Frame error,"? Network (digital trunk) malfunction
? Optional service card malfunction: PRI, T1, E1
? Wrong A/B switch setting: PRI, T1, E1
? Wrong termination switch setting: PRI30, E5","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connector; 75  ? when using BNC connector
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
305*,Data Link failure,"? Data link between the CS and CSIF card or DHLC/DLC card failed
? Data link between the network and PRI/BRI card failed
? Data link between the network and IP-GW card failed","? Check the connection between the CS and CSIF card or DHLC/DLC card
? Check the connection between the network and PRI/BRI card
? Check the connection between the network and IP-GW card"
306,E1 Channel Block failure,"? Network (digital trunk) malfunction
? Optional service card malfunction: E1
? Wrong A/B switch setting: E1
? Wrong termination switch setting: E1","? Check the signals from the network
? Check the cable
? See if the A/B switch is set to A on the corresponding optional service card
? See if the termination switch is set properly on the corresponding optional service card: 120 ? when using RJ45 connect"
307,LAN No Carrier,? IP-GW card not connected to the LAN,? Check the connection between the LAN and IP-GW card
308,IP-GW LAN Loop back Error,? Detection of IP-GW LAN Loop back Test error,"? Replace the corresponding optional service card
? Collect the log data of IP-GW (refer to the documentation for the IP-GW card)"
309,IP-GW Core Data Link Error,? Detection of IP-GW Core data Link error,"? Press the Reset Button
? Collect the log data of IP-GW (refer to the documentation for the IP-GW card)"
310*,Port Link Failure,"? Voice Processing System malfunction
? Ports defective on optional service card: DHLC, DLC","? Check the Voice Processing System
? See if the corresponding optional service card is installed properly
? Replace the corresponding optional service card"
320,IP-GW H.323 Dummy Call Test Error,? Detection of IP-GW H.323 Dummy Call Test error,"? Replace the corresponding optional service card
? Collect the log data of IP-GW (refer to the documentation for the IP-GW card)"
321,IP-GW Gatekeeper Error,? Detection of Gatekeeper access error,"? Check the IP address setting of Gatekeeper
? Check whether the Gatekeeper is connected to the network and work properly
? Check the route to the Gatekeeper"
322,IP-GW Gatekeeper Registration Error,? Gatekeeper Registration is failed,? Check the Gatekeeper setting
323,IP-GW SDRAM Failure,? Detection of IP-GW SDRAM error,? Replace the corresponding optional service card
324,IP-GW DPRAM Failure,? Detection of IP-GW DPRAM error,? Replace the corresponding optional service card
325,IP-GW LAN Chip Failure,? Detection of IP-GW LAN Chip failure,"? Replace the corresponding optional service card
? Collect the log data of IP-GW (refer to the documentation for the IP-GW card)"
326,IP-GW Stop,? IP-GW is stopped from a remote maintenance PC,? This information is logged when IP-GW is stopped from a remote maintenance PC
327,IP-GW DSP failure,? Optional service card malfunction: IP-GW16,? Replace the corresponding optional service card
330,Loop current detection error,? Detection of LCOT loop current error,"? Change the corresponding trunk status back to In Service
? Enter the feature number to clear Busy Out status
? The trunk status is automatically changed back to In Service by system diagnosis performed at a preprogrammed time every day"
350,IP-unit SDRAM bit error,? Optional service card malfunction: IP-EXT,"? The IP-EXT card will be rebooted automatically if the error is temporary
? Replace the corresponding IP-EXT card if the card is not rebooted"
351,IP-unit download data check-sum error,? Optional service card malfunction: IP-EXT,? The IP-EXT card will be rebooted automatically if the error is temporary
352,IP-unit DSP failure,? Optional service card malfunction: IP-EXT,? Replace the corresponding IP-EXT card if the card is not rebooted
353,IP-PT DSP failure,? IP-PT malfunction,"? The IP-PT will be rebooted automatically if the error is temporary
? Replace the corresponding IP-PT if the IP-PT is not rebooted"
355,IP-unit alive check error,? Optional service card malfunction: IP-EXT,"? The IP-EXT card will be rebooted automatically if the error is temporary
? Replace the corresponding IP-EXT card if the card is not rebooted"
356,IP/TEL-unit communication error,? Optional service card malfunction: IP-EXT,"? The IP-EXT card will be rebooted automatically if the error is temporary
? Replace the corresponding IP-EXT card if the card is not rebooted"
357,IP-unit FLASH access error,? Optional service card malfunction: IP-EXT,? Replace the corresponding optional service card
358,IP-unit boot error,? Optional service card malfunction: IP-EXT,? Replace the corresponding optional service card
359,IP-unit DSP failure (boot diagnosis),? Optional service card malfunction: IP-EXT,? Replace the corresponding optional service card
360,IP-PT SUB-CPU failure,? IP-PT malfunction,"? The IP-PT will be rebooted automatically if the error is temporary
? Replace the corresponding IP-PT if the IP-PT is not rebooted"
361,IP-PT DHCP server no response,"? DHCP server is not active
? Network malfunction",? Consult your network administrator
362,IP-PT Rebooted (cause DHCP server),"? DHCP server is not active
? Network malfunction
? Network configuration has been changed",? Consult your network administrator
370,IP-GW Rebooted by Maintenance Console,? IP-GW is rebooted from a remote maintenance PC,? This information is logged when IP-GW is rebooted from a remote maintenance PC
371,IP-GW Rebooted,? Optional service card malfunction: IP-GW,"? Check whether the software version of the IP-GW card is correct
? Replace the corresponding optional service card"
372,NDSS message over IPGW notification - caused by IPGW Tx resource limitation,? Optional service card malfunction: IP-GW,"? Ignore if not frequent
? Change the IP-GW card status to Out of Service, and then back to In Service"
373,NDSS message over IPGW notification - caused by IPGW Rx resource limitation,? Optional service card malfunction: IP-GW,"? Ignore if not frequent
? Change the IP-GW card status to Out of Service, and then back to In Service"
374,NDSS message over IPGW notification - caused by shortage of IPGW resource,? Optional service card malfunction: IP-GW,"? Ignore if not frequent
? Change the IP-GW card status to Out of Service, and then back to In Service"
375,NDSS message over IPGW notification - caused by Network side,? Network malfunction,"? Ignore if not frequent
? Consult your network administrator"
390,Digital signal synchronization established,? Synchronisation of digital line established or restored,"? This information is logged when synchronisation of digital line is established, and does not indicate an error condition that needs to be solved"
391,Data Link established,? Connection with PC Phone/PC Console or Voice Processing System (DPT Integration) established or restored,"? This information is logged when connection with PC Phone/PC Console or Voice Processing System (DPT Integration) is established, and does not indicate an error condition that needs to be solved. However, if this is logged frequently (with ""305 Data Link failure""), check the connection as it may not be done properly."
392,Clock master card selected,? Clock master card has been changed to the one indicated by the sub code,? Check if the proper card is selected as the new clock master card
393,LAN Carrier detected,? IP-GW card connected to the LAN,? This information is logged when synchronisation of LAN is established
394,IP-GW Core Data Link established,? IP-GW Core Data Link established,? This information is logged when IP-GW Core Data Link is recovered
395,IP-GW Gatekeeper Error Cleared,? Connection to the Gatekeeper is recovered,? This information is logged when connection to the Gatekeeper is recovered
396,IP-GW Run,? IP-GW is started from a remote maintenance PC,? This information is logged when IP-GW is started from a remote maintenance PC
510,SMDR disconnect,"? RS-232C cable not connected
? Breaking of RS-232C cable
? Printer (terminal equipment) malfunction","? Check the RS-232C cable
? Check the terminal equipment"
